frame,right_elbow,left_elbow,right_knee,left_knee
0,154.21464481909948,139.81448126838225,157.2627907553949,156.36460857273443
1,157.789461305212,147.33975971925912,151.8775719376983,151.6776477634013
2,153.61401552789545,151.54758360753743,147.81154928492396,146.8558241021975
3,144.78774026489089,150.79300406627775,149.87289577064516,147.24047005921088
4,147.1388355656393,147.45959587405613,150.1261327471488,149.9375133021974
5,76.7283976444704,148.16385854541724,150.60303566142662,145.07347842434382
6,62.98962160912252,141.81522018689654,146.07050525434747,148.7473161161825
7,69.07663013525521,135.23985424404242,146.8570341888273,151.0066962116346
8,71.63954156675489,132.0136535462358,151.17119123663824,149.6645645725963
9,75.96404432676309,129.65684337909417,152.73158528982498,148.84045464371002
10,78.5119586180026,131.99681188963405,150.98131633979528,144.43430355962772
11,83.43286616284237,131.7638495826724,149.72680302039595,143.1623757499449
12,82.67724824156916,131.397905270002,146.81633811155382,144.8902436149225
13,85.99639958971775,131.20697526858706,143.98828310401927,143.98298804821812
14,95.4867705086989,130.34093833775003,139.37543015258115,134.6365898394669
15,77.64699453441388,129.6572572771573,139.03450851320167,132.18804162359382
16,84.45618988486702,125.11598522676198,144.44458693870868,134.9962295912964
17,80.20865889697207,127.70099894032015,147.5833936349761,139.20224683695113
18,88.06990491975942,127.0178198468997,143.3568436880845,137.46554754170356
19,84.72247753211104,126.84744179942655,137.71565280687102,137.87541695441067
20,76.30011831063521,126.52157014071585,135.53128427423476,133.53429848548348
21,65.62229558993772,126.77865553421925,133.77314320343507,131.65344526713136
22,57.49078359062181,130.29562340294606,125.39192018652294,125.23064939227571
23,50.83917576672897,130.94582593339203,126.4804569833917,122.61297721811157
24,59.799771235350846,131.68504869595318,122.47303411511125,118.4899259197122
25,59.04029826249558,127.06108107332126,124.91965807863811,120.13946577753528
26,72.83434420950141,131.1342455351266,113.96782898256812,124.26324112001583
27,51.2330928716011,130.208110436027,102.69327282376965,111.74261522034443
28,88.9658398037737,130.52852113349212,104.36179058476992,111.18196442539849
29,77.05865337130918,131.81755879425128,109.99685277637779,109.81672323452567
30,53.13298523263517,129.9372324146005,111.13664813384165,119.74424783798263
31,50.2299482168191,127.89053591579923,119.6851506840183,113.77265685633724
32,58.43948492056643,134.38809113777685,120.68748201154197,108.4253043244046
33,99.18806435513105,142.38354354365407,122.72764281363534,113.82068556341217
34,112.43008370857332,141.64767220819022,124.95804288121094,116.73929535306361
35,105.6926380299332,139.6053740850842,122.43738028374032,121.57503087525969
36,102.91170458255355,135.47322667414528,124.09802429687014,121.00192398354145
37,133.6415509301855,128.5021220849517,131.89585072543053,113.6506806844144
38,133.30117280106592,126.51934747326473,139.8297974561393,111.64454249120719
39,128.93549588112978,125.30800389644948,135.1143325159715,96.98669235691604
40,140.9005362094314,133.97170560589836,142.20385359453329,104.46894368447542
41,143.59058717749926,140.61184984773817,138.0919913952833,118.46891149997816
42,137.10042326768874,122.328061670152,137.0255353741707,125.30893670270697
