frame,right_elbow,left_elbow,right_knee,left_knee
0,139.74987142590567,99.84592727558581,157.27024308836656,162.3218474388205
1,142.24335249574878,106.50667198884392,156.59386310233273,163.8132147764963
2,141.69506724944662,105.9198668436963,152.852361590673,161.2406389019149
3,142.075422558266,106.29507304230283,152.57974390961272,161.11780903396252
4,145.6490959315185,108.13329735808055,154.0044619841338,163.9979595872393
5,143.85458078998715,104.9706047331503,153.47321704919972,162.33998607703202
6,144.78229164528705,106.02650189367199,152.47044545982507,160.67723180559173
7,145.27154324108554,106.38346962576367,152.8677480421789,160.63490022572043
8,146.51581146710973,105.56629417991617,153.69740897423824,161.77263650522087
9,146.11720037249364,106.33911057415632,153.64725755830403,161.39280143426583
10,147.70017478874757,109.07035869214361,153.6256671607965,161.5685002520782
11,148.04906405464777,107.84794277853305,152.5626079992271,160.49757880599503
12,148.30347358295836,108.14618387747166,152.3143883326203,160.60281743729664
13,148.75229062186682,107.80147409007984,153.15615085614004,161.8059339227028
14,147.55384018670233,109.49583093238607,150.62156322783892,158.14357104185515
15,146.35393975002287,107.95530012627835,146.99506329559296,151.20571539419555
16,144.52471652071443,105.90116863673511,144.17322169477526,151.5925233873427
17,144.03794367207715,105.34160937076666,144.729441333722,151.9946019509305
18,141.13825367875637,104.53725718297152,144.26999037176253,151.07871550323674
19,140.40743667553264,106.0237550497748,146.11716826449697,154.763298579095
20,139.31928447481093,106.57865131856006,146.22906888389286,153.93499514892818
21,131.66655108634433,103.5715788179851,144.79394664459178,153.0133867176805
22,127.55869487517555,102.86295342943065,144.6776587882657,152.56579625337528
23,128.16185054681543,103.18864395831197,141.99165142173277,151.23342537234248
24,141.34557560047503,105.88572896987888,140.0783235709274,145.49315729321202
25,134.74055123822043,103.0896963130109,140.10291280542424,140.9004347321712
26,127.45534635119942,106.68447639353285,137.53585729830755,136.06685276873904
27,120.58635158044721,109.09311704553281,136.07650391687966,133.405574937519
28,119.55290161634332,116.35610737349235,132.16180379106956,125.17273802518221
29,116.2932669903238,119.21108819244469,135.86434090495288,123.49480425477265
30,117.61292712859424,125.54832347656982,134.44332679510973,113.72340280732391
31,116.54468532135822,134.5996748419489,133.60142076780716,116.18799245634784
32,108.68422361126012,134.7109946446185,135.28999115646073,119.90805913332127
33,113.96728127523512,133.18977996475593,134.4780175265839,115.89509922388662
34,100.6715077224055,121.37780650634215,134.36649674399268,113.2734689462725
35,94.85558928883347,109.77619797214322,134.23212056741733,114.53012063422337
36,64.28184306340845,110.50326906438708,134.13633403691364,115.10426155186276
37,82.49315084900257,110.38101530103602,140.6457640284745,122.03218936625761
38,53.700951015887874,107.87291133504344,143.28410552349933,128.437365646413
39,88.07105968746633,107.21172701979593,145.2910228478835,132.17012750253318
40,108.97914680026058,100.31569654488304,147.72195305553322,137.41962879365403
41,106.12081613393555,89.1686421550985,146.74646785071513,135.27972876882848
42,106.87624717757325,94.20529970657718,144.2344873282043,130.02446791979534
43,86.71332318683656,80.6889430007195,147.7704730980258,128.41520504439112
44,94.93977578067864,75.20117172915522,147.64835207635716,134.71624882873607
45,101.91558356910504,95.2420360318213,147.65767520831295,130.73819089972227
46,99.11022156099087,112.10238460427742,137.65791685661762,118.28304593172378
47,103.62488384748204,127.96289123406507,150.3301084902022,107.96097836260036
48,109.46775936022196,142.72383389496747,151.00282576707465,122.6817692748142
49,113.90608521183188,147.06495732386338,155.58400345908265,124.75971416997244
50,117.91182612079005,142.70903565560133,162.92266630477062,130.09457598930615
51,125.40476365049261,120.07828100401024,158.88148361622214,123.35217419654089
52,138.55416112737603,67.82483286085707,152.98783966253131,131.8254516916181
53,147.70705341025763,78.6556863733991,148.23669948000202,129.25228464667157
54,166.18999487802745,109.04163503636073,145.83793082296467,126.37749535750899
55,163.0462982267548,91.2456584838649,151.53776678652284,136.2832672510668
56,162.9553672176438,91.52396995793944,154.88719053431194,136.0416350010662
57,161.84886883764273,93.29191565705561,157.03606841457574,139.42989034016625
58,161.72459211378057,93.91096523770655,157.33884246301503,136.78049526741228
59,164.01108941428075,88.42854929828307,154.69347458157347,129.75882712275728
60,164.4532659628617,93.4669683701909,154.94340942205005,125.32658417932569
61,165.98346475947875,109.4050610495407,158.72675164896893,122.61005409256097
62,170.80727735166602,123.45128851243884,154.97476877342828,118.73922281067367
63,171.879365965016,127.8077593158951,153.82543467785987,117.06987881864205
64,170.83295495440194,130.08190971701976,155.35165960320157,117.87475427044996
65,168.6713849507527,135.2426894190257,158.10806441663746,118.62277040261516
66,169.1265700212975,131.9444168666439,161.39271195224646,125.81629473350584
67,168.8304383786815,126.19921120451106,155.14094321264486,123.32922716552441
68,168.34644422692432,122.82604245952666,161.0300683340495,128.47632783099226
69,167.31920704576345,125.25131723975151,164.48224228233275,132.53452798284678
70,167.4470028131272,127.59343583469199,160.37782368557575,127.6004675622355
71,166.74152895432277,136.23836250379165,150.30529927744962,118.00805069524657
72,163.7589856536877,123.84899718910752,150.9679577232377,114.46684023410633
73,157.60312445074044,122.29716100176871,150.03570731079967,113.21978321262519
74,150.40257605647722,127.11495988930757,154.53260935530983,113.64334991547616
75,153.56867546596771,129.52308014826846,146.67902469850645,99.56720742114088
76,154.43982691953732,132.41191206689433,139.9956726985072,92.818119613918
77,151.69911421718513,132.04122561849888,140.54184787940585,97.19259522201322
78,145.1449776502613,122.17873366013218,133.21542705314408,92.25949748601094
79,140.1732937783099,118.81397385007573,137.04332154865145,99.51051303853215
80,136.1354630496641,126.15035696906914,138.9855708572445,98.60333937709105
81,128.77961199359098,126.61827669462507,152.89690146234477,100.76037033771429
82,119.80035409759515,121.21274050141305,155.8607330151924,105.39292728649832
83,108.81801743697764,127.23080720579739,161.01540981444583,114.84697869888242
84,103.30151745982653,119.5737398490769,162.38088874841364,116.87663164706952
85,99.40711113032602,110.92262596245213,158.98616884273244,113.07259952974034
86,85.78356578337447,112.54523187077992,154.61411635416493,119.85863092754143
87,79.3105462221772,121.88253395979883,145.20342046707532,122.64079482511363
88,71.68061226476281,124.722723220295,136.55018686711887,121.44728686695115
89,82.01493684926392,130.2680382060359,97.56999787156713,132.30159546167022
90,45.92754769279964,114.70927318497507,98.88833091315318,145.47330260693977
91,62.545407841569336,116.21995693600336,103.14886554977012,147.96451968448562
92,67.61114270359178,126.97905360519023,94.62311555933803,149.05746298313414
93,26.125136336313084,127.71665696815731,80.92633655537922,143.50985172025
94,48.19294655480439,129.2171983131076,76.30223643228894,124.26279709616583
95,68.13301612647645,120.03088254108557,80.99268273543268,136.50007781973488
96,81.69932841316358,114.19769174663116,90.85017403770294,152.39420834399746
97,73.80132289397947,105.00401488613915,103.80202448875964,156.58783053999068
98,65.92877077995806,96.3393534182613,107.07656013689608,153.306200292851
99,122.32954238664229,79.8878158423174,96.47639507752753,162.55003717635995
