frame,right_elbow,left_elbow,right_knee,left_knee
0,118.07538742630213,115.40679350871441,161.08024330810758,139.8656153713096
1,120.83098474642335,120.09083156030093,159.26502995739887,126.1587489913263
2,121.53271181059742,120.4814997467538,158.04893616772657,120.71665362256887
3,120.92480269609598,119.79341713307574,158.1580751600107,122.21016024545634
4,120.59657198459078,118.61615341954794,158.33127276101231,124.32585281273451
5,121.37563642399988,119.20682242837722,157.85274080080546,117.40976220266921
6,121.57430948541433,119.45602999512315,157.6212744009669,115.52596029188585
7,121.59729400655736,119.701907114556,157.48675978328362,118.3533645694542
8,121.90339753883471,119.51005559227052,157.8882185685629,118.86994836529671
9,122.63753265696806,120.44352071242731,157.4991521847766,115.94701694885805
10,122.28214762007478,119.47622464417303,157.81409449572482,117.4586496135941
11,122.20491977816796,119.0282350863993,158.0465578801756,116.60350071906316
12,122.38520805159771,118.7997508933218,158.34778157442366,118.15207462602328
13,121.38616144003123,118.32167102833043,158.7014673633198,119.81992098886681
14,119.15021862676173,115.00981826626976,159.57453036749024,128.3158937316841
15,119.44851107709626,115.51284035665677,159.61486439856318,129.70270801477125
16,119.67349894546929,116.05802721540525,159.96329237849366,132.2482629406236
17,120.5007069996384,117.2586052948341,159.5918639244153,130.60240022612493
18,120.33039867298444,116.67370363131329,160.10275560336328,134.12316700419981
19,120.5137342370393,117.20445182929589,160.33973535354735,132.14365321553043
20,120.71102767979208,117.9094202534938,160.40423270610856,130.70960391754372
21,121.63021495785007,119.06296184574585,160.37200374187626,126.25287293783929
22,122.34897655793486,119.73363988348567,160.35302903225625,123.40224881275007
23,122.6173633172379,120.06338456271428,160.42966794023206,121.82543498073385
24,122.79776521752622,120.12327309060285,160.42893344490207,121.96104313566246
25,122.98755700523765,119.83760100234693,160.2760492779665,121.03928154650718
26,122.69290694406381,119.61429051042593,160.23669146505588,120.21516742268373
27,122.2877529012191,119.54343794231558,160.26565015458726,120.8420509742356
28,122.47664024380424,119.94271530966213,159.9949285490125,118.81750076013931
29,121.69928252472788,119.41385851820664,159.72152653086502,120.30251585487342
30,120.11896887176015,117.34321758680035,160.0956636516996,125.15930588426362
31,120.79548423901963,117.63018723454664,159.86046475548895,124.87551305807816
32,120.19030455958848,116.72092238044162,159.9221056966119,127.72391985874988
33,120.20781612206933,117.18022843164366,159.75294827018035,126.96811775532129
34,120.48348192151049,118.61794564015946,159.5020448767313,125.96681027342674
35,120.62120483266465,118.58983915044105,159.35210352535708,124.9426282486755
36,120.62208131840936,118.92409842264078,158.9846991197262,124.6861016069675
37,120.55101992806632,118.72825653623698,158.7868767258675,124.56399844429359
38,120.50496813857934,118.03069396663601,158.63105122744142,124.44007858168558
