frame,right_elbow,left_elbow,right_knee,left_knee
0,122.0746394872978,102.45442223815054,135.18198017595734,138.55346658789847
1,115.01754138117113,105.49816627530872,120.6975947563417,107.74705098545014
2,119.57991642743313,111.05787809581103,99.74596181353513,116.21229384896972
3,121.51222152900402,115.24128697220084,89.83410262055838,118.58478908856502
4,120.76434210594951,111.98978651327242,81.88492866165102,115.99751005255737
5,126.69510670857356,111.95860531998385,70.42031665745013,121.70912308387591
6,127.51659393146956,127.91624678828076,75.44765627161863,137.67476413253613
7,124.10283913592461,134.5090399459827,86.90142214289874,142.84563519357033
8,120.2150187721725,135.74093880008508,99.19943056580732,153.83586176018082
9,114.5440779372332,133.3239026269069,99.92382079691234,153.60834444185625
10,111.2610758576719,135.51118906351965,104.47932107570682,150.6374293987955
11,111.41977977541853,134.70278302201172,107.50713297987294,156.46131792986415
12,112.70353696998961,135.53219562221983,115.4147121041792,156.9699488349878
13,112.67529355659465,135.56867980526312,113.65498033711587,162.77486593021231
14,119.39020353336024,144.76642048267095,169.2728242482587,167.41250349294583
15,117.8122222282533,147.30355628595376,170.44347038302922,163.62745572261562
16,116.6793770146933,144.35315745993913,162.43290528856585,165.58042628484273
17,123.4372248691435,145.487427121746,135.98599727981605,165.7377428373355
18,123.96451573143192,142.96505608802832,127.12370860047133,165.73676424055657
19,98.15670852924316,141.81908884381463,149.49299203634828,163.10895541876417
20,120.0832515604476,150.25536828169047,165.05653038654054,153.1841119233629
21,125.04881379897762,156.12844496904466,165.4230435735356,155.98847564193895
22,123.30046722734613,136.95793074698716,164.42981377804784,161.07646408736093
23,116.49273508128732,126.96941209950555,159.59780942996082,159.9395196733724
24,121.85727468241375,140.38469349916159,165.74520196065174,161.87781824338515
25,119.38709078707016,143.90326738164836,169.1563707411664,161.76490617549928
26,124.10638095238002,145.8579382514998,164.76826329129366,160.4294973808783
27,126.16254060739705,144.0474120725097,163.38361945005855,158.3783124123917
28,126.60976145632057,147.05556647075184,161.0778738585773,158.44129103611024
29,126.99476558622032,148.25417737509412,138.62920566256145,159.94573229806022
