frame,right_elbow,left_elbow,right_knee,left_knee
0,150.37297389086962,161.13428644107898,175.31559994592024,174.7869740984135
1,147.0283895583921,165.42774103784652,176.5617802889736,174.45868589525838
2,148.29549131589366,164.81731491908195,178.613058874411,175.3206004675039
3,148.47618185784128,168.54474472475505,179.04641327811487,176.04536036482156
4,147.6803675734781,170.7550909413262,179.21109144468943,176.35265072709305
5,147.43164366802915,171.3849519271775,178.82619277094224,176.7683147262455
6,147.5091280332157,171.4047716263848,178.48400048715388,176.86327746793026
7,144.94737323961752,170.4085147221778,178.80276570413452,176.12495461627122
8,144.33626783982197,170.92799357952416,178.6828190397203,175.59975223553232
9,144.5789520357699,168.76911882557098,178.26269585380774,175.10475479579162
10,142.30141469009484,159.73338886649782,177.31951356893356,175.19751981457813
11,136.9041238946893,161.27560339125344,178.72622514746138,174.55404487076044
12,133.28823477405206,165.24501147648033,178.7148179367053,175.12573091203467
13,134.691712744563,165.66189060162657,179.0073583712412,176.62638415344983
14,136.51424104343693,166.42786040144406,178.6513525688551,176.568346356028
15,136.5721068387558,165.22988257642166,179.01369928546842,177.23689214241253
16,128.19071254006,168.52613553286332,179.2958444235074,179.16036873012837
17,124.07272828908081,167.60229470801136,178.20945806585175,179.0976883407004
18,116.44463007524301,165.75622483753222,178.83098309241666,178.6552147837595
19,106.05866097733792,173.248317981096,179.0671760543508,179.3104109602184
20,102.31166921248722,173.37892569727313,179.35638416027268,178.17452497999895
21,97.18532752956666,173.69907734163309,178.9566287448665,177.66054597916062
22,95.54432750280921,172.17164728408153,179.20281397268374,178.40430594628205
23,91.33552779421117,171.6492504256303,179.15861826488378,178.54586683988083
24,90.82545777398443,171.62793549932482,178.5583308294723,178.9123371829132
25,102.57811815760734,174.24612727759487,177.41840745793374,178.1283605758439
26,95.36028336257684,169.35205020056134,178.55075904127597,177.75174854444245
27,91.39402002049358,171.03171306544746,177.197844274438,178.4069922602146
28,103.01112570926693,167.51138019999286,174.7989387800305,175.63450134224672
29,92.16391043231137,167.85610623132357,174.74287022402424,176.84980134536448
30,90.24329836399924,169.4470817621817,174.20769906706187,178.0030544452028
31,89.92752596393925,168.71292873751563,173.44382314692854,177.05932048593976
32,95.03974347181097,170.44220578489708,172.13264279694644,176.42865168210747
33,96.28910379370598,171.67154058794102,171.96969418435484,176.5399352478295
34,93.31283475891343,170.72935109194037,173.1641182480176,176.21102808623598
35,98.02601174125702,129.33459805242848,171.82673149841304,175.52114573775174
36,98.71423359398942,144.36808979481683,170.3331807549908,175.33405363312755
37,101.89085060199832,152.15634717169328,169.71051656333753,175.066119101332
38,100.86976128159301,133.64658249248927,169.46060421231238,174.02971591865708
39,97.14312323762468,128.02121560983133,169.81622127403477,173.22700218008382
40,95.44681614920309,122.69253072916543,170.47119218013674,173.94580035524925
41,97.08488808509289,136.93683301299916,169.73625168427802,172.75731664220461
42,97.80418311350694,140.33972106157574,169.29210757300604,171.80714275284492
43,98.33736588637653,141.6559766593617,169.49889979272325,171.67659181104693
44,102.53515460192432,145.53144850614498,170.48865416371382,171.9375604055738
45,105.54982133813877,144.31137137262309,170.79737788341083,171.121177317221
46,103.0389101578546,144.32430906093194,171.80327389551965,171.32478896734585
